styrk08_code	styrk08_label	sector	employments	wage_avg	wage_median	wage_q1	wage_q3	employments_m	wage_avg_m	wage_median_m	wage_q1_m	wage_q3_m	employments_f	wage_avg_f	wage_median_f	wage_q1_f	wage_q3_f
7322	Trykkere	A	1391	37410	35570	31000	42420	1127	38500	36210	32060	43680	264	32030	30880	27730	36500
7323	Innbindere	A	344	30590	30880	27150	33700	245	31150	31570	27400	34320	99	29200	NULL	NULL	NULL
7411	Elektrikere	A	30202	39840	40730	35240	45280	29402	40010	40850	35540	45400	800	33200	35100	24990	40760
7412	Automatikere	A	5726	45700	45000	37300	56030	5463	46230	45570	37820	56420	263	34450	35070	27910	40640
7413	Energimontører	A	4803	40450	42180	35800	46040	4643	40700	42360	36060	46150	160	32960	36610	25460	40680
7421	Serviceelektronikere	A	1535	39790	36910	35420	43730	1403	39550	36670	35320	43310	132	42420	40750	35570	46930
7422	Tele- og IKT-installatører	A	3547	34250	37020	27780	41670	3364	34480	37350	27780	41830	183	29810	32030	19440	38320
7511	Slaktere, fiskehandlere	A	2975	33990	32380	28740	38930	2278	35230	33820	29440	40590	697	29830	29140	25930	32690
7512	Bakere, konditorer	A	1634	32340	32350	28420	37280	1027	34390	34000	29940	39420	607	28770	30640	25250	33880
7522	Møbelsnekkere	A	2099	33650	32690	29610	36270	1972	33810	32900	29720	36440	127	30680	31010	28190	33200
7531	Skreddere, buntmakere	A	437	36020	36300	31560	39460	82	35590	NULL	NULL	NULL	355	36120	36340	32500	39140
7534	Møbeltapetserere	A	344	34920	34780	30750	39120	221	36170	35950	32050	40000	123	32410	33000	28990	37030
7541	Yrkesdykkere	A	516	47320	44900	39720	52350	513	47370	45000	39840	52350	3	38770	NULL	NULL	NULL
7542	Skytebaser og sprengningsarbeidere	A	1536	51790	51410	40920	64020	1519	51930	51550	41170	64060	17	39280	NULL	NULL	NULL
7544	Desinfeksjonsarbeidere og skadedyrbekjempere	A	327	38980	36010	32600	42820	305	39140	36020	32620	43160	22	36760	NULL	NULL	NULL
7549	Andre håndverkere	A	977	29700	30950	27200	33210	41	30840	NULL	NULL	NULL	936	29650	30910	27200	33160
8111	Bergfagarbeidere	A	837	40630	40160	35240	46700	802	40790	40160	35370	46890	35	36960	NULL	NULL	NULL
8113	Operatører innen boring	A	11993	58020	57630	50400	65090	11044	58480	57910	50700	65300	949	52510	55020	45500	62220
8114	Operatører innen produksjon av betong	A	2206	36240	35400	31390	40270	2157	36240	35400	31360	40270	49	36240	NULL	NULL	NULL
8121	Operatører innen metallurgiske prosessfag	A	7593	36310	35650	31890	40650	6664	36550	35950	32130	40980	929	34460	33830	30830	37770
8131	Operatører innen kjemisk industri	A	9267	41950	41940	35750	48340	7710	42550	42620	36630	48820	1557	38880	38230	33340	45070
8141	Operatører innen produksjon av gummiprodukter	A	312	36010	34520	31690	38430	301	36130	34680	31400	38830	11	32730	NULL	NULL	NULL
8142	Operatører innen plastprodukter	A	2351	34300	33390	30360	37190	2023	34630	33640	30780	37630	328	32130	31400	29230	34510
8143	Operatører innen papirprodukter	A	476	32550	33710	29030	35960	396	32970	34080	29250	36160	80	30470	NULL	NULL	NULL
8152	Operatører innen tekstilproduksjon	A	875	33840	32640	29210	36630	470	35570	34250	30040	38510	405	31760	30760	28100	34260
8153	Industrisyere	A	939	31660	31070	28940	34530	211	29530	29790	26610	31990	728	32310	31480	29400	35450
8157	Renseri- og vaskerimaskinoperatører	A	2662	30620	31040	28900	32600	922	30260	30680	28880	32170	1740	30830	31390	29230	32680
8160	Operatører innen næringsmiddelproduksjon	A	24785	34040	32770	29730	37310	15464	34750	33330	30000	38430	9321	32770	32050	29310	35610
8171	Operatører innen treforedling	A	3024	34130	33330	30400	37390	2614	34500	33750	30640	37710	410	31650	31400	29120	33750
8172	Operatører innen trelastproduksjon	A	3761	32780	32290	30200	34650	3464	32850	32330	30220	34780	297	31950	31670	29890	33450
8181	Operatører innen glass- og keramisk produksjon	A	1437	34440	33010	29580	37500	1161	34650	33240	29750	37820	276	33430	31880	28810	36040
8182	Fyrkjele- og turbinoperatører	A	1268	40140	39170	35610	44510	1211	40250	39300	35720	44550	57	37800	NULL	NULL	NULL
8183	Pakke-, tappe- og etikettmaskinoperatører	A	934	37970	39240	32180	43180	582	39130	40270	33450	44170	352	35960	37000	29270	41690
8211	Montører av mekaniske produkter	A	1666	36610	35400	31960	39780	1587	36740	35500	31930	39960	79	34000	NULL	NULL	NULL
8212	Montører av elektriske og elektroniske produkter	A	3266	38190	36080	32260	42290	2276	39840	37990	33240	45040	990	34260	33190	31040	36890
8311	Lokomotiv og T-baneførere	A	1842	55970	58120	48910	62340	1656	56610	58630	51020	62790	186	49780	47090	41810	58410
8322	Bil-, drosje- og varebilførere	A	16132	32480	31910	27480	36200	14714	32610	32000	27540	36470	1418	31030	30640	26790	34180
8331	Bussjåfører og trikkeførere	A	15492	35400	35440	33600	37120	14397	35410	35460	33630	37140	1095	35310	35260	33190	37030
8332	Lastebil- og trailersjåfører	A	25555	35620	34930	31270	39000	25008	35650	34980	31320	39000	547	34170	33830	30130	37500
8341	Jordbruks- og skogbruksmaskinførere	A	711	33790	33000	30750	36720	703	33820	33000	30750	36720	8	31150	NULL	NULL	NULL
8342	Anleggsmaskinførere	A	20454	38180	37670	34330	41600	19676	38300	37800	34490	41690	778	34530	34320	31380	37790
8343	Kran- og heisførere	A	1696	40740	40000	36390	44560	1633	40920	40140	36540	44680	63	36070	NULL	NULL	NULL
8344	Truckførere	A	856	35170	34280	31500	38210	835	35160	34300	31500	38210	21	35570	NULL	NULL	NULL
8350	Dekks- og maskinmannskap (skip)	A	6552	40890	42820	35150	47500	6247	41230	43080	35620	47800	305	33500	34910	27040	40050
9111	Renholdere i private hjem	A	251	29800	28840	27760	30540	20	29450	NULL	NULL	NULL	231	29830	28840	27760	30480
9112	Renholdere i virksomheter	A	72952	31250	30510	28840	33190	15883	31690	30480	28840	33420	57069	31110	30580	28840	33150
9122	Bilvaskere	A	3205	30830	29930	25570	34510	2886	31060	30000	25910	34940	319	28400	28250	24360	30990
9211	Hjelpearbeidere i nyttevekstproduksjon	A	1121	25640	21110	19490	26500	628	26530	21110	19490	26840	493	24530	21110	18840	25500
9212	Hjelpearbeidere i husdyrproduksjon	A	709	25560	24360	20390	29230	197	26450	25000	21110	30170	512	25070	24170	20300	28840
9213	Hjelpearbeidere i kombinasjonsbruk	A	876	25630	24200	20700	29000	596	26370	24700	21110	29440	280	23870	21930	19650	26790
9214	Hjelpearbeidere i gartneri	A	2248	29950	30380	24360	33860	1820	30300	31010	24770	34020	428	28190	26660	23310	32720
9312	Hjelpearbeidere i anlegg	A	16984	35000	34640	30200	39720	16277	35140	34810	30230	39830	707	30840	30850	25890	34970
9313	Hjelpearbeidere i bygg	A	8296	31750	31010	29230	33980	7980	31780	31040	29230	33990	316	30500	30000	27600	33130
9321	Håndpakkere	A	1563	32870	32000	28690	37500	977	33090	32480	28490	38290	586	32480	31080	28710	35710
9329	Andre hjelpearbeidere i industri	A	7166	34420	33510	29490	38540	5835	34820	33950	29720	39140	1331	32440	31930	28690	35630
9333	Laste- og lossearbeidere	A	4711	34060	32600	28900	38590	4139	34370	32950	29230	38790	572	30800	29440	24360	34720
9334	Varepåfyllere	A	1525	28590	28500	23620	32480	1212	28650	28840	23530	32810	313	28320	27090	23760	30850
9412	Kjøkkenassistenter	A	24755	28030	27720	24360	31250	7407	26930	26750	23120	29550	17348	28550	28340	25170	32420
9510	Reklamedistributører	A	170	33990	33410	29230	37350	159	34290	33530	30000	37380	11	29650	NULL	NULL	NULL
9611	Renovasjonsarbeidere	A	4628	34650	33950	30790	37290	4201	34860	34120	30930	37380	427	32260	31580	29310	34430
9612	Gjenvinningsarbeidere	A	746	31810	32090	27720	35450	623	32370	32480	28330	35770	123	28460	28670	25660	31470
9621	Bud	A	3167	31100	30690	27070	33990	2466	31170	30730	27110	33910	701	30850	30520	26950	34200
9622	Altmuligmann	A	3862	31270	30130	26000	35000	2985	31730	30310	26430	35560	877	29410	29230	24980	32890
9629	Andre hjelpearbeidere	A	1120	31940	31830	25460	37960	483	33260	33200	26460	40630	637	30680	31830	24130	35310
