nus_kode	nus_navn	wage_avg	wage_median	wage_q1	wage_q3	employments_50	wage_avg_04	wage_median_04	wage_q1_04	wage_q3_04	employments_04	wage_avg_50	wage_median_50	wage_q1_50	wage_q3_50	employments_50
7399	Samfunnsfag og juridiske fag, andre	562320	514440	423360	630840	5055	486120	472200	413520	549960	1586	597000	540000	431280	686520	3469
6299	Lærerutdanninger og utdanninger i pedagogikk, andre	448320	435120	368400	508680	4952	364800	346560	302040	416160	173	450960	438240	372600	510240	4779
4663	Apotekteknikk	400320	401760	359160	423840	4563	347760	340680	325200	364200	974	410520	407880	379440	429600	3589
4899	Samferdsels- og sikkerhetsfag og andre servicefag, andre	416280	394920	356280	450240	4539	NULL	NULL	NULL	NULL	NULL	416640	395400	356880	450480	4506
6651	Ergoterapi	468960	466920	414840	510720	4471	412560	398280	376200	445080	1114	483360	479280	438360	519240	3357
6371	Rettsstudiet	541440	480000	375960	613320	4450	380760	356640	324000	408840	2348	629880	564000	468840	704040	2102
7572	Arkitektur	693840	660000	564000	792600	4449	549720	540960	501840	588960	963	733680	701520	609960	825960	3486
7999	Uoppgitt utdanningsgruppe	617400	566520	423480	720120	4420	497400	482520	370800	570000	439	630480	578880	429600	740040	3981
6522	Kjemiske fag	622920	565320	459960	729360	4342	428160	399960	331200	486240	1133	667800	600000	500280	766440	3209
4832	Servitør	470280	429000	379560	526680	4276	360840	344400	317280	376440	352	479520	438480	389040	534960	3924
4659	Terapeutiske fag, andre	431520	416400	396240	466920	4230	406560	389760	340800	438480	221	432720	417480	399240	467400	4009
7111	Utdanninger i germanske og romanske språk	604320	610320	531360	653040	4099	521640	521640	460080	574200	503	615000	618720	547800	658200	3596
4821	Militære fag	561240	509640	420000	628560	4025	465480	447960	358440	516840	1475	616080	560160	466320	696840	2550
6241	Pedagogikk	498480	484920	406200	566640	3883	414360	402840	339720	463560	1529	537240	519960	456480	583080	2354
4151	Sang- og musikkutdanninger	412440	366600	312360	471000	3870	329400	318120	294720	346080	2156	476400	438840	370200	540000	1714
7299	Lærerutdanninger og utdanninger i pedagogikk, andre	488040	477720	386400	562920	3754	507480	523200	433320	589560	454	485160	467040	384360	558360	3300
4422	Markedsføring	629040	549000	448560	714000	3740	NULL	NULL	NULL	NULL	NULL	630240	549960	450000	716160	3703
7142	Kristendom og andre religionsutdanninger	607920	610440	528360	664920	3731	522960	523320	457200	594960	516	620880	618720	549720	673440	3215
6151	Sang- og musikkutdanninger	492720	489720	390000	565080	3681	381000	353040	318840	418680	1130	528240	517560	447120	587160	2551
6421	Handel	762360	604080	469080	849960	3665	406560	397320	346920	440400	475	804000	648000	500040	888840	3190
4164	Tegne-, grafikk-, maler- og skulptørutdanninger	470040	438360	376320	529680	3543	379320	359400	320400	420240	611	483960	450000	390960	540000	2932
7641	Odontologi	734880	686520	582000	840000	3446	599640	579960	531960	643800	594	762360	720000	600000	872400	2852
4731	Gartneri og hagebruk	474600	446880	405000	514680	3430	425040	420240	378000	464640	459	482520	450480	408960	523920	2971
6319	Statsvitenskapelige fag, andre	522000	490560	420000	573360	3422	409920	392040	332040	460680	752	544080	506160	442920	588960	2670
6321	Sosiologiske fag	520680	494760	415800	579960	3418	387840	370680	325080	436200	1036	556560	525240	453480	597840	2382
6352	Journalistikk	573360	538320	461640	650640	3328	450120	437040	360000	511920	822	604440	560160	488520	678600	2506
7799	Primærnæringsfag, andre	657120	600120	474000	737760	3289	464400	454320	400920	497040	279	673920	618720	497520	755040	3010
6899	Samferdsels- og sikkerhetsfag og andre servicefag, andre	509400	449160	376080	567960	3260	472320	417240	337440	570240	142	511080	450000	378000	567720	3118
4642	Tannpleiefag	413520	409200	380040	439200	3259	366960	358560	333960	397680	650	424080	415200	396240	447120	2609
7242	Spesialpedagogikk	558480	557160	505080	619080	3216	519600	516720	475800	561000	1114	578880	579000	531960	631080	2102
7319	Statsvitenskapelige fag, andre	670320	623880	513840	768720	3166	535320	510000	443760	597720	753	712080	667800	558120	810360	2413
7151	Sang- og musikkutdanninger	557040	558960	499080	622560	3118	490200	503760	423240	545520	796	575880	573840	520200	629040	2322
7341	Samfunnsøkonomi	767040	660000	540840	863160	3044	510000	483120	446520	555000	593	825720	705840	589560	929160	2451
7821	Militære fag	896880	811080	666960	1041120	3028	NULL	NULL	NULL	NULL	NULL	898560	814320	666960	1045560	2961
6242	Spesialpedagogikk	512880	519840	449280	570480	2990	443280	437640	377760	501600	737	530400	535320	478440	576720	2253
7661	Farmasi	721440	668400	552120	823920	2914	573240	535200	505320	613080	676	763800	716880	604800	865080	2238
7131	Historieutdanninger	595200	575280	504840	648720	2793	498360	490560	428400	549960	480	612960	589560	521640	659160	2313
6359	Medie- og informasjonsfag, andre	493800	475560	376920	564960	2759	400440	381240	328800	450000	1277	556800	536160	457920	612480	1482
7611	Sykepleiefag	590640	582600	525120	640080	2726	573360	574680	515280	624360	1266	605760	590760	535800	652320	1460
4165	Interiør- og dekoratørutdanninger	417120	395040	344520	456480	2693	334800	325440	300000	360000	682	436320	406920	368280	479520	2011
7519	Biologiske fag, andre	618600	568920	489960	665040	2675	486840	474720	436560	522000	608	654960	606120	527160	703080	2067
